Link,Judul,Kecamatan,Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-villa-di-lembang-udara-sejuk-pegunung-172232365430/,"DIJUAL RUMAH VILLA DI LEMBANG, UDARA SEJUK PEGUNUNGAN BANDUNG UTARA",Antapani,0.0,2.0,2.0,100.0,588.0,3000000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-mewah-di-setia-budi-regency-172232218796/,Rumah mewah di setia budi regency,Antapani,2.0,4.0,3.0,400.0,472.0,5500000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-rumah-cigadung-cikutra-172221811359/,Jual Rumah Cigadung Cikutra,Antapani,1.0,3.0,1.0,100.0,150.0,1500000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-murah-rumah-asri-sayap-surapati-diponegoro-di-17220847156/,"Jual Murah Rumah Asri Sayap Surapati, Diponegoro, Dipatiukur",Antapani,1.0,3.0,2.0,220.0,320.0,4000000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-baru-shm-di-padasuka-bandung-pasir-luhur-pro-172193908585/,RUMAH BARU SHM DI PADASUKA BANDUNG PASIR LUHUR PROMO KPR TANPA DP,Antapani,2.0,2.0,2.0,71.0,72.0,675000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/selangkah-dari-tamansari-itb-unpad-rumah-lux-murah-172191573828/,SELANGKAH DARI TAMANSARI ITB UNPAD RUMAH LUX MURAH CISITU DAGO BANDUNG,Antapani,2.0,3.0,2.0,92.0,113.0,1800000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/lelang-cessie-aset-properti-premium-jalan-sunda-ba-17219074121/,"lelang cessie aset properti premium jalan Sunda , Bandung",Antapani,0.0,6.0,5.0,568.0,432.0,8000000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-strategis-dekat-alun-alun-kota-bandun-17219040146/,Dijual Rumah Strategis Dekat Alun-Alun Kota Bandung,Antapani,0.0,4.0,4.0,170.0,96.0,1000000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-murah-lux-modern-di-dago-selangkah-ke-pusat-172189630540/,RUMAH MURAH LUX MODERN DI DAGO SELANGKAH KE PUSAT KOTA BANDUNG,Antapani,2.0,3.0,2.0,91.0,113.0,1800000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-indent-dipusat-kota-cimahi-dengan-aks-172188546110/,Dijual Rumah Indent Dipusat Kota Cimahi Dengan Akses Yang Mudah,Antapani,0.0,3.0,2.0,86.0,103.0,1010000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-besar-dan-bagus-di-pusat-kota-bandung-172188355873/,Rumah besar dan bagus di pusat kota bandung,Antapani,2.0,6.0,6.0,400.0,236.0,5000000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-minimalis-di-sayap-sari-jadi-bandung-utara-172187337448/,Rumah minimalis di sayap sari jadi bandung utara,Antapani,1.0,2.0,2.0,50.0,138.0,1600000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/cluster-el-dorado-setiabudhi-bandung-utara-mewah-m-172180505914/,"Cluster El Dorado Setiabudhi - Bandung Utara, Mewah, Murah, Jarang Ada",Antapani,0.0,9.0,5.0,500.0,830.0,7000000000
