Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
0.0,5,3,300,250.0,5250000000,5250.0
0.0,4,4,250,283.0,4750000000,4750.0
0.0,3,2,225,292.0,4300000000,4300.0
2.0,4,4,130,85.0,1950000000,1950.0
2.0,8,4,317,290.0,3500000000,3500.0
0.0,4,3,100,120.0,2450000000,2450.0
0.0,4,4,130,85.0,1950000000,1950.0
11.0,6,2,180,240.0,2830000000,2830.0
0.0,2,2,100,125.0,1300000000,1300.0
20.0,4,2,130,156.0,1200000000,1200.0
0.0,6,3,150,108.0,1200000000,1200.0
0.0,3,3,200,213.0,2700000000,2700.0
1.0,2,2,60,70.0,875000000,875.0
2.0,4,3,100,120.0,2450000000,2450.0
0.0,10,3,146,70.0,2300000000,2300.0
0.0,3,2,70,120.0,1200000000,1200.0
0.0,2,2,200,230.0,1800000000,1800.0
0.0,4,3,140,120.0,2450000000,2450.0
0.0,6,2,150,176.0,1850000000,1850.0
0.0,2,1,31,60.0,800000000,800.0
0.0,2,2,45,84.0,756500000,756.5
0.0,2,2,84,45.0,755000000,755.0
0.0,5,4,236,149.0,1700000000,1700.0
2.0,6,3,240,142.0,2500000000,2500.0
2.0,2,2,200,230.0,1700000000,1700.0
0.0,4,1,100,132.0,980000000,980.0
4.0,5,4,300,296.0,2750000000,2750.0
2.0,5,4,350,246.0,2700000000,2700.0
1.0,4,3,120,85.0,1800000000,1800.0
0.0,5,4,180,120.0,1350000000,1350.0
14.0,2,1,40,60.0,270000000,270.0
0.0,9,9,350,296.0,2900000000,2900.0
0.0,10,9,250,187.0,1950000000,1950.0
0.0,3,1,94,100.0,950000000,950.0
0.0,9,9,150,99.0,1800000000,1800.0
0.0,2,1,40,107.0,1300000000,1300.0
0.0,4,3,350,325.0,3200000000,3200.0
1.0,5,2,130,102.0,1200000000,1200.0
0.0,2,2,45,80.0,870000000,870.0
0.0,4,2,72,96.0,650000000,650.0
0.0,5,3,190,142.0,2300000000,2300.0
1.0,3,3,135,90.0,1890000000,1890.0
0.0,5,4,300,296.0,2400000000,2400.0
1.0,2,1,40,107.0,1150000000,1150.0
0.0,4,3,170,133.0,2800000000,2800.0
15.0,3,1,90,74.0,750000000,750.0
0.0,4,4,250,140.0,2700000000,2700.0
0.0,22,23,250,137.0,1950000000,1950.0
2.0,5,4,200,170.0,2200000000,2200.0
1.0,2,1,30,70.0,800000000,800.0
0.0,4,2,126,146.0,975000000,975.0
0.0,2,2,60,70.0,720000000,720.0
0.0,4,3,150,120.0,2450000000,2450.0
0.0,7,3,200,300.0,2350000000,2350.0
4.0,7,3,200,300.0,2350000000,2350.0
0.0,2,1,67,84.0,750000000,750.0
0.0,3,2,155,216.0,1400000000,1400.0
3.0,7,3,200,300.0,2350000000,2350.0
2.0,5,2,140,144.0,1000000000,1000.0
0.0,3,3,180,100.0,1399000000,1399.0
0.0,3,2,80,100.0,599000000,599.0
0.0,2,1,63,63.0,550000000,550.0
0.0,2,1,36,66.0,1200000000,1200.0
0.0,2,1,80,90.0,550000000,550.0
0.0,3,2,80,100.0,1650000000,1650.0
0.0,3,1,110,143.0,750000000,750.0
0.0,6,3,150,209.0,2500000000,2500.0
0.0,3,1,112,100.0,780000000,780.0
0.0,4,4,127,126.0,2350000000,2350.0
0.0,4,4,111,134.5,2600000000,2600.0
2.0,4,2,220,150.0,2100000000,2100.0
0.0,4,3,111,158.0,3300000000,3300.0
0.0,4,4,170,102.0,2100000000,2100.0
2.0,6,4,266,273.0,2500000000,2500.0
1.0,5,4,180,180.0,2200000000,2200.0
1.0,5,3,170,209.0,2500000000,2500.0
0.0,6,3,180,198.0,1900000000,1900.0
0.0,4,4,132,198.0,3500000000,3500.0
2.0,3,3,142,132.0,1000000000,1000.0
0.0,4,4,127,126.0,2600000000,2600.0
0.0,4,4,108,236.0,3035000000,3035.0
1.0,3,1,72,50.0,300000000,300.0
1.0,3,2,72,50.0,250000000,250.0
0.0,6,4,100,160.0,1450000000,1450.0
0.0,2,1,60,90.0,850000000,850.0
1.0,3,1,61,160.0,2795000000,2795.0
1.0,3,1,58,93.0,1870000000,1870.0
1.0,4,4,108,236.0,3600000000,3600.0
1.0,2,2,70,70.0,942000000,942.0
0.0,3,1,65,90.0,1300000000,1300.0
0.0,3,2,160,196.0,4000000000,4000.0
0.0,4,3,205,205.0,3250000000,3250.0
1.0,2,1,40,107.0,1300000000,1300.0
0.0,4,4,180,140.0,1700000000,1700.0
0.0,4,2,130,138.0,850000000,850.0
0.0,5,4,300,296.0,3200000000,3200.0
0.0,3,2,85,102.0,1275000000,1275.0
0.0,3,1,80,120.0,980000000,980.0
7.0,6,4,300,333.0,3000000000,3000.0
0.0,3,1,60,80.0,900000000,900.0
1.0,4,4,180,105.0,1400000000,1400.0
1.0,2,1,40,107.0,1300000000,1300.0
0.0,10,9,150,154.0,1400000000,1400.0
1.0,3,1,72,50.0,475000000,475.0
0.0,5,4,198,264.0,4400000000,4400.0
1.0,4,3,350,325.0,4200000000,4200.0
0.0,2,1,100,115.0,800000000,800.0
0.0,4,2,200,306.0,4000000000,4000.0
1.0,2,1,36,50.0,195000000,195.0
0.0,2,1,40,107.0,1300000000,1300.0
0.0,6,3,210,157.0,1650000000,1650.0
0.0,4,2,225,120.0,1200000000,1200.0
1.0,2,1,36,50.0,195000000,195.0
1.0,6,3,220,382.0,2500000000,2500.0
0.0,2,2,92,102.0,1700000000,1700.0
0.0,3,2,52,88.0,810000000,810.0
30.0,2,1,60,107.0,675000000,675.0
0.0,10,9,180,134.0,1650000000,1650.0
1.0,2,1,30,40.0,165000000,165.0
0.0,5,2,168,200.0,2000000000,2000.0
0.0,2,2,94,96.0,2450000000,2450.0
25.0,3,2,90,121.0,750000000,750.0
1.0,3,2,90,123.0,1200000000,1200.0
0.0,1,1,1,340.0,2650000000,2650.0
1.0,2,1,67,84.0,780000000,780.0
0.0,5,5,100,110.0,625000000,625.0
1.0,2,2,59,70.0,875000000,875.0
0.0,5,3,195,200.0,1500000000,1500.0
0.0,2,1,80,92.0,795000000,795.0
0.0,3,2,70,120.0,957000000,957.0
15.0,3,3,150,100.0,1100000000,1100.0
30.0,4,3,140,120.0,2450000000,2450.0
2.0,4,3,140,120.0,2450000000,2450.0
1.0,3,3,108,236.0,3667000000,3667.0
0.0,3,2,110,140.0,850000000,850.0
1.0,4,3,135,90.0,1890000000,1890.0
0.0,4,2,150,106.0,870000000,870.0
0.0,1,1,100,131.0,1400000000,1400.0
0.0,5,2,153,72.0,650000000,650.0
4.0,4,2,500,400.0,4500000000,4500.0
0.0,2,1,70,96.0,550000000,550.0
1.0,3,3,95,91.0,1260000000,1260.0
0.0,2,1,90,90.0,850000000,850.0
0.0,2,1,60,90.0,925000000,925.0
0.0,4,2,70,90.0,650000000,650.0
0.0,4,3,140,120.0,2450000000,2450.0
0.0,3,1,70,100.0,500000000,500.0
0.0,3,1,45,72.0,675000000,675.0
0.0,2,2,45,72.0,650000000,650.0
0.0,2,1,78,45.0,650000000,650.0
1.0,3,1,60,85.0,1550000000,1550.0
1.0,3,2,52,85.0,788000000,788.0
0.0,5,4,160,200.0,3700000000,3700.0
25.0,3,1,120,110.0,750000000,750.0
0.0,2,2,55,60.0,425000000,425.0
0.0,2,1,60,84.0,1600000000,1600.0
0.0,2,1,36,71.0,550000000,550.0
0.0,4,4,127,126.0,2650000000,2650.0
0.0,3,2,150,157.0,1250000000,1250.0
0.0,2,2,66,57.75,1504000000,1504.0
1.0,3,2,50,72.0,610000000,610.0
1.0,3,2,50,72.0,715000000,715.0
0.0,4,3,350,325.0,3300000000,3300.0
2.0,6,4,190,165.0,2900000000,2900.0
0.0,5,4,183,110.0,1300000000,1300.0
0.0,9,3,180,122.0,1200000000,1200.0
1.0,2,1,50,60.0,500000000,500.0
0.0,4,2,500,400.0,4600000000,4600.0
0.0,3,3,153,135.0,4450000000,4450.0
0.0,2,1,56,84.0,600000000,600.0
1.0,3,2,120,105.0,1500000000,1500.0
2.0,3,2,87,148.0,1850000000,1850.0
2.0,2,1,60,84.0,1600000000,1600.0
0.0,4,4,112,105.0,1650000000,1650.0
0.0,3,1,58,90.0,1500000000,1500.0
