Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
0.0,3.0,2.0,200.0,157.0,3200000000,3200.0
1.0,3.0,3.0,200.0,157.0,3200000000,3200.0
3.0,6.0,4.0,180.0,170.0,2900000000,2900.0
0.0,3.0,2.0,110.0,135.0,1200000000,1200.0
0.0,5.0,5.0,250.0,190.0,1555000000,1555.0
0.0,5.0,3.0,180.0,170.0,2900000000,2900.0
0.0,6.0,2.0,100.0,60.0,450000000,450.0
1.0,3.0,2.0,109.0,108.0,1300000000,1300.0
1.0,3.0,2.0,120.0,133.0,1499900000,1499.9
0.0,3.0,2.0,75.0,96.0,710000000,710.0
0.0,3.0,2.0,70.0,104.0,815000000,815.0
0.0,3.0,2.0,82.0,72.0,1300000000,1300.0
0.0,2.0,1.0,51.0,102.0,1250000000,1250.0
0.0,4.0,2.0,85.0,131.0,999999999,1000.0
0.0,3.0,2.0,100.0,113.0,1450000000,1450.0
1.0,1.0,1.0,60.0,60.0,500000000,500.0
0.0,3.0,3.0,120.0,188.0,1650000000,1650.0
0.0,5.0,5.0,80.0,82.0,500000000,500.0
1.0,3.0,2.0,90.0,75.0,1050000000,1050.0
1.0,4.0,3.0,120.0,100.0,1150000000,1150.0
1.0,3.0,2.0,98.0,115.0,1500000000,1500.0
0.0,5.0,5.0,198.0,250.0,1600000000,1600.0
0.0,3.0,2.0,100.0,120.0,850000000,850.0
0.0,3.0,2.0,100.0,108.0,1100000000,1100.0
1.0,3.0,2.0,110.0,135.0,1300000000,1300.0
1.0,3.0,1.0,60.0,93.0,870000000,870.0
1.0,2.0,2.0,110.0,135.0,1299900000,1299.9
2.0,3.0,2.0,115.0,98.0,1500000000,1500.0
1.0,2.0,1.0,110.0,135.0,1300000000,1300.0
0.0,3.0,2.0,120.0,81.0,1250000000,1250.0
1.0,2.0,2.0,110.0,126.0,950000000,950.0
1.0,5.0,5.0,250.0,192.0,1750000000,1750.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
2.0,4.0,2.0,245.0,140.0,950000000,950.0
1.0,3.0,2.0,94.0,60.0,1000000000,1000.0
1.0,4.0,2.0,180.0,112.0,1500000000,1500.0
2.0,3.0,2.0,85.0,90.0,1500000000,1500.0
2.0,4.0,2.0,103.0,148.0,2000000000,2000.0
2.0,3.0,2.0,120.0,133.0,1500000000,1500.0
1.0,2.0,1.0,40.0,71.0,802000000,802.0
1.0,3.0,1.0,60.0,93.0,870000000,870.0
1.0,3.0,2.0,110.0,135.0,1300000000,1300.0
2.0,5.0,5.0,250.0,198.0,1800000000,1800.0
3.0,5.0,3.0,180.0,170.0,2900000000,2900.0
2.0,6.0,3.0,288.0,176.0,2500000000,2500.0
3.0,5.0,3.0,180.0,170.0,2900000000,2900.0
0.0,4.0,2.0,80.0,124.0,1450000000,1450.0
3.0,5.0,3.0,180.0,170.0,2900000000,2900.0
0.0,6.0,4.0,180.0,170.0,2900000000,2900.0
2.0,2.0,1.0,75.0,125.0,950000000,950.0
2.0,4.0,2.0,230.0,278.0,1350000000,1350.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
1.0,3.0,2.0,94.0,60.0,1000000000,1000.0
10.0,5.0,2.0,110.0,135.0,2100000000,2100.0
1.0,14.0,3.0,175.0,112.0,1300000000,1300.0
0.0,3.0,2.0,100.0,113.0,1450000000,1450.0
1.0,4.0,2.0,144.0,144.0,900000000,900.0
2.0,5.0,5.0,250.0,192.0,1550000000,1550.0
1.0,5.0,2.0,140.0,144.0,975000000,975.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
1.0,2.0,1.0,40.0,71.0,802000000,802.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
0.0,3.0,2.0,62.0,92.0,703000000,703.0
0.0,10.0,3.0,103.0,148.0,1300000000,1300.0
1.0,3.0,3.0,115.0,90.0,1449900000,1449.9
0.0,2.0,2.0,65.0,87.0,1100000000,1100.0
1.0,2.0,2.0,50.0,72.0,779000000,779.0
1.0,3.0,2.0,75.0,96.0,710000000,710.0
1.0,3.0,3.0,100.0,144.0,2100000000,2100.0
1.0,3.0,2.0,90.0,112.0,1100000000,1100.0
1.0,3.0,1.0,100.0,138.0,1300000000,1300.0
1.0,3.0,2.0,75.0,70.0,499000000,499.0
0.0,2.0,2.0,51.0,92.0,742000000,742.0
0.0,3.0,2.0,90.0,112.0,1100000000,1100.0
2.0,4.0,2.0,85.0,92.0,1049500000,1049.5
1.0,2.0,1.0,45.0,65.0,595000000,595.0
1.0,2.0,2.0,60.0,70.0,750000000,750.0
1.0,2.0,1.0,33.0,65.0,398000000,398.0
