,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
182,4.0,2.0,245.0,140.0,950000000
183,3.0,2.0,94.0,60.0,1000000000
184,4.0,2.0,180.0,112.0,1500000000
185,3.0,2.0,85.0,90.0,1500000000
186,4.0,2.0,103.0,148.0,2000000000
187,3.0,2.0,120.0,133.0,1500000000
188,2.0,1.0,40.0,71.0,802000000
189,3.0,1.0,60.0,93.0,870000000
190,3.0,2.0,110.0,135.0,1300000000
192,5.0,5.0,250.0,198.0,1800000000
193,5.0,3.0,180.0,170.0,2900000000
194,6.0,3.0,288.0,176.0,2500000000
195,5.0,3.0,180.0,170.0,2900000000
196,4.0,2.0,80.0,124.0,1450000000
197,5.0,3.0,180.0,170.0,2900000000
198,6.0,4.0,180.0,170.0,2900000000
199,2.0,1.0,75.0,125.0,950000000
200,4.0,2.0,230.0,278.0,1350000000
201,3.0,2.0,70.0,104.0,815000000
202,3.0,2.0,94.0,60.0,1000000000
204,5.0,2.0,110.0,135.0,2100000000
205,14.0,3.0,175.0,112.0,1300000000
206,3.0,2.0,100.0,113.0,1450000000
207,4.0,2.0,144.0,144.0,900000000
208,5.0,5.0,250.0,192.0,1550000000
209,5.0,2.0,140.0,144.0,975000000
210,3.0,2.0,70.0,104.0,815000000
213,2.0,1.0,40.0,71.0,802000000
215,3.0,2.0,70.0,104.0,815000000
216,3.0,2.0,70.0,104.0,815000000
217,3.0,2.0,62.0,92.0,703000000
218,10.0,3.0,103.0,148.0,1300000000
220,3.0,3.0,115.0,90.0,1449900000
221,2.0,2.0,65.0,87.0,1100000000
222,2.0,2.0,50.0,72.0,779000000
223,3.0,2.0,75.0,96.0,710000000
224,3.0,3.0,100.0,144.0,2100000000
225,3.0,2.0,90.0,112.0,1100000000
226,3.0,1.0,100.0,138.0,1300000000
227,3.0,2.0,75.0,70.0,499000000
229,2.0,2.0,51.0,92.0,742000000
230,3.0,2.0,90.0,112.0,1100000000
232,4.0,2.0,85.0,92.0,1049500000
233,2.0,1.0,45.0,65.0,595000000
234,2.0,2.0,60.0,70.0,750000000
235,2.0,1.0,33.0,65.0,398000000
236,2.0,2.0,60.0,70.0,750000000
237,4.0,3.0,165.0,200.0,1950000000
238,7.0,5.0,250.0,160.0,3100000000
239,3.0,4.0,110.0,105.0,2000000000
240,4.0,3.0,202.0,109.0,1995000000
241,3.0,2.0,200.0,165.0,1950000000
242,4.0,4.0,155.0,120.0,1300000000
243,4.0,2.0,100.0,120.0,1350000000
244,3.0,2.0,100.0,135.0,1699000000
245,4.0,2.0,85.0,133.0,899000000
246,3.0,2.0,85.0,90.0,1500000000
247,2.0,2.0,150.0,119.0,995000000
248,3.0,3.0,100.0,140.0,900000000
249,4.0,2.0,85.0,133.0,1000000000
250,2.0,1.0,50.0,45.0,885000000
251,3.0,2.0,92.0,66.0,1200000000
252,4.0,2.0,85.0,133.0,900000000
253,5.0,3.0,200.0,216.0,2560000000
254,3.0,3.0,136.0,98.0,1200000000
256,4.0,3.0,135.0,135.0,1599000000
257,4.0,4.0,230.0,160.0,2400000000
258,3.0,2.0,120.0,70.0,865000000
259,5.0,2.0,150.0,119.0,995000000
260,2.0,1.0,86.0,92.0,1250000000
261,2.0,1.0,39.0,72.0,400000000
262,5.0,5.0,250.0,194.0,1750000000
263,2.0,1.0,40.0,60.0,580000000
264,3.0,3.0,115.0,93.0,1650000000
