Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
3.0,2.0,150.0,232.0,1450000000,1450.0
3.0,2.0,80.0,109.0,975000000,975.0
3.0,1.0,75.0,148.5,925000000,925.0
4.0,3.0,140.0,160.0,1700000000,1700.0
2.0,1.0,50.0,75.0,645000000,645.0
4.0,2.0,150.0,200.0,1250000000,1250.0
4.0,1.0,100.0,250.0,1200000000,1200.0
3.0,3.0,125.0,150.0,1100000000,1100.0
3.0,3.0,90.0,140.0,899000000,899.0
3.0,2.0,110.0,111.0,1600000000,1600.0
4.0,4.0,200.0,175.0,1700000000,1700.0
3.0,2.0,60.0,63.0,434000000,434.0
4.0,3.0,150.0,176.0,1375000000,1375.0
2.0,2.0,45.0,86.0,800000000,800.0
4.0,4.0,200.0,156.0,1350000000,1350.0
3.0,2.0,61.0,71.0,599000000,599.0
